text,question,answer
اللهجات الشرقية تضم مناطق هوكايدو، توهوكو، كانتو، كوشينيتسو، والجزء الشرقي من منطقة تشوبو، في حين اللهجات الغربية تضم الجزء الغربي من منطقة تشوبو «بما فيها مدينة ناغويا»، ومناطق كانساي، تشوغوكو، شيكوكو، كيوشو، وأوكيناوا.,ما هي المناطق التي تضمها اللهجات الشرقية في اليابان؟,هوكايدو، توهوكو، كانتو، كوشينيتسو، تشوبو
جورج جونز هو عسكري أسترالي، ولد في 18 أكتوبر 1896 في فيكتوريا في أستراليا، وتوفي في 24 أغسطس 1992 في ملبورن في أستراليا.,متى توفي جورج جونز؟,في 24 أغسطس 1992
من أجل إزالة أي غموض حول حقائق الدفن، طلب الجنرال المفوض فرانسوا مانسيرون نصيحة شيخ الإسلام محمد الطاهر بن عاشور، في أبريل ١٩٣٣. كانت الفتوى الصادرة عن محكمة «الشريعة» ردا على ذلك غامضة للغاية؛ وأكدت أن المسلم الذي يتبنى جنسية بلد غير مسلم هو مرتد، لكنها أضافت أنه إذا تاب، حتى لفظيا، قبل وفاته، فإن دفنه في مقابر المسلمين مقبول. علم حزب الدستور بهذه المواربة وند بالتواطؤ بين الفرنسيين والسلطات الدينية. أبلغ مانسيرون وزير الخارجية الفرنسي حينها جوزيف بول بونكور بفشله:,ماذا أكدت الفتوى الصادرة عن محكمة الشريعة بخصوص الدفن؟,المسلم الذي يتبنى جنسية بلد غير مسلم هو مرتد
كاليفورنيا هي مدينة أمريكية تقع في ولاية ميزوري. تبلغ مساحة هذه المدينة 7.8 (كم²)،ويبلغ عدد سكانها 4278 نسمة حسب إحصاء سنة 2010 م 4278.تشير إحصاءات سنة 2000م بأن الكثافة السكانية في هذه المدينة تقدر بـ(516.3) نسمة/كم2,ما هو عدد السكان بحسب إحصاء سنة 2010م في مدينة كاليفورنيا؟,4278 نسمة.
دوري الدرجة الأولى الأرجنتيني 1934 هو الموسم 4 من  دوري الدرجة الأولى الأرجنتيني. الذي يشرف على تنظيمه اتحاد الأرجنتين لكرة القدم، وكان عدد الأندية المشاركة فيه  14، وفاز فيه بوكا جونيورز.,من هو الفريق الفائز بدوري الدرجة الأولى الأرجنتيني 1934؟,بوكا جونيورز.
في عام 2001 جدّدت شركة قطار إسرائيل مبنى المحطة كاملاً، وأنشأت صالة ركاب واسعة بجوار الرصيف الحالي ورصيف آخر يمكن الوصول إليه بممر تحت الأرض. كما أنشأت مواقف للسيارات بجوار المحطة. بعد أعمال التجديد بدأت المحطة العمل في 19 مارس 2002، وافتتحت في احتفال رسمي يوم 21 مايو 2002 بحضور وزير المواصلات أفرايم سنيه والمدير التنفيذي لشركة قطار إسرائيل يوسي سنير.,متى افتُتِحت المحطة بشكل رسمي؟,21 مايو 2002
أثناسيوس «ثانوس» ميكروتسيكوس (باليونانية: Αθανάσιος (Θάνος) Μικρούτσικος؛ (13 أبريل 1947 - 28 ديسمبر 2019) ملحن وسياسي يوناني. يعتبر من أهم الملحنين في المشهد الموسيقي اليوناني الحديث.,ما هو إسم أثناسيوس ميكروتسيكوس بالعربية؟,ثانوس ميكروتسيكوس.
علاقة ثنائية أخرى بين المجموعات هي علاقة المجموعة الجزئية وهي مشتقة من علاقة التابعية: نقول أن formula_5 هي مجموعة جزئية للمجموعة formula_6 إذا كل عضو formula_7 تابع أيضا للمجموعة formula_8 أي: formula_9. نرمز لهذه العلاقة بالشكل التالي: formula_10 ونقول أيضا:A ضمن B. إذا تحقق أيضا أنَّ formula_11 حينها نقول ان المجموعة A مجموعة جزئية فعلية للمجموعة B. ونرمز لذلك بالشكل التالي: formula_12.و نقول أيضا:A ضمن B قطعا.,كيف يعبر عن علاقة الجزئية في الرموز؟,A ضمن B.
"اقترح البروفيسور مناش هار إيل من جامعة تل أبيب (1968) أن يكون ""إيليم"" ""هي نفسها آبار موسى، وأشار إلى أنه في عام 1907 لاحظ العالم الجيولوجي توماس بارون وجود 12 ينبوعًا في هذا الموقع إلى جانب أشجار النخيل.",ما النظرية التي طرحها بروفيسور مناش هار إيل؟,إيليم هي آبار موسى
"بلغ عدد الأسر 1,583 أسرة كانت نسبة 41.9% منها لديها أطفال تحت سن الثامنة عشر تعيش معهم، وبلغت نسبة الأزواج القاطنين مع بعضهم البعض 58.2% من أصل المجموع الكلي للأسر، ونسبة 11.1% من الأسر كان لديها معيلات من الإناث دون وجود شريك، بينما كانت نسبة 3.2% من الأسر لديها معيلون من الذكور دون وجود شريكة وكانت نسبة 27.5% من غير العائلات. تألفت نسبة 23.6% من أصل جميع الأسر من أفراد ونسبة 8.2% كانوا يعيش معهم شخص وحيد يبلغ من العمر 65 عاماً فما فوق. وبلغ متوسط حجم الأسرة المعيشية 3.19، أما متوسط حجم العائلات فبلغ 2.67.",ما نوع الأسر التي كانت نسبتها أعلى، الأسر ذات الأطفال أم الأزواج القاطنين معاً؟,الأزواج القاطنين معاً
خوسيه مانويل دياز ميدينا هو سياسي مكسيكي، ولد في 2 يوليو 1949 في المكسيك. حزبياً، نشط في الحزب الثوري المؤسساتي. وقد انتخب عضو مجلس النواب المكسيك.,ما هو حزب خوسيه مانويل دياز ميدينا؟,الحزب الثوري المؤسساتي.
روديارد هي بلدة تقع بولاية ميشيغان في الولايات المتحدة. تبلغ مساحتها 233.3 (كم²)، وترتفع عن سطح البحر 206 م، بلغ عدد سكانها 1315 نسمة في عام تعداد الولايات المتحدة 2000 حسب إحصاء مكتب تعداد الولايات المتحدة وتصل الكثافة السكانية فيها 5.6 نسمة/كم.,ما هي الكثافة السكانية في بلدة روديارد؟,5.6 نسمة/كم
"سوبر سماش برذرز براول هو الجزء الثالث لسلسلة ألعاب فيديو ""سوبر سماش برذرز"" القتالية والانتقالية، والذي طواره شركة سورا ونشاره شركة نينتندو على نظام الوي للألعاب الفيديو. يعرف اللعبة في اليابان كـ « ""دايرانتوه سوماسشوه بورازازو إكّوسو"" » .",من شركة نينتندو هو لعبة سوبر سماش برذرز براول؟,سورا ونشاره شركة نينتندو
لويس غارسيا ساينز هو أستاذ جامعي وكاتب وجغرافي إسباني، ولد في 10 أغسطس 1894 في سرقسطة في إسبانيا، وتوفي في 11 مارس 1965.,ما هي المهنة التي اشتهر بها لويس غارسيا ساينز؟,أستاذ جامعي وكاتب وجغرافي
تيشكي هو دُوَّار يقع بجماعة إمي نولاون، إقليم ورززات، جهة درعة تافيلالت في المملكة المغربية. ينتمي الدوّار لمشيخة آيت عفان الغربية التي تضم 5 دواوير. يقدر عدد سكانه بـ 75 نسمة حسب الإحصاء الرسمي للسكان والسكنى لسنة 2004.,في أي مشيخة ينتمي تيشكي؟,آيت عفان الغربية
بلغ عدد الأسر 124 أسرة كانت نسبة 32.3% منها لديها أطفال تحت سن الثامنة عشر تعيش معهم، وبلغت نسبة الأزواج القاطنين مع بعضهم البعض 82.3% من أصل المجموع الكلي للأسر، ونسبة 2.4% من الأسر كان لديها معيلات من الإناث دون وجود شريك، وكانت نسبة 15.3% من غير العائلات. تألفت نسبة 14.5% من أصل جميع الأسر من أفراد ونسبة 11.3% كانوا يعيش معهم شخص وحيد يبلغ من العمر 65 عاماً فما فوق. وبلغ متوسط حجم الأسرة المعيشية 2.90، أما متوسط حجم العائلات فبلغ 2.63.,كم يتجاوز متوسط حجم الأسرة المعيشية متوسط حجم العائلات؟,0.27
وبالمثل، بالنسبة للدوران عكس اتجاه عقارب الساعة (الاتجاه الإيجابي) حول المركز، تكون الدالة على شكل: formula_45 و formula_46 تكتب في مصفوفة على شكل:,ما شكل الدالة للدوران عكس اتجاه عقارب الساعة حول المركز؟,تكون بشكل formula_46 في المصفوفة.
شاه بلاف ( بالأذرية: Şah plov )، هي أكلة شعبية أذربيجانية. طعام يحضر من اللحم و الأرز و كستنة و خوخ أصفر مجفف.,ما المكونات الأساسية لطبق شاه بلاف؟,لحم، أرز، كستنة، خوخ مجفف
جون بي. ستيل هو قاضي ومحامي وسياسي أمريكي، ولد في 28 مارس 1814، وتوفي في 24 سبتمبر 1866. حزبياً، نشط في الحزب الديمقراطي. وقد انتخب عضو مجلس النواب الأمريكي.,في أي قرن نشط جون بي. ستيل حزبياً؟,القرن التاسع عشر
لوطاويين هي إحدى مشيخات المملكة المغربية، تتبع جغرافيا لإقليم وزان وإداريًا لأسجن. يقدر عدد سكانها بـ 10496 نسمة حسب الإحصاء الرسمي للسكان والسكنى لسنة 2004.,كم عدد سكان مشيخة لوطاويين حسب إحصاء عام 2004؟,10496 نسمة
توزعت رئاسة بين عامي 1996 و2006 على 3 شخصيات هي: أحمد قريع (1996 و2003)، ورفيق النتشة (2003 و2004) وروحي فتوح (2004 و2006).,من كان رئيساً بين عامي 2003 و2004؟,رفيق النتشة
وبشكل مستغرب بعض الشيء، لم يعاد نشر فقر الفلسفة بالكامل، بعد إصداره الأول في عام 1847، قبل وفاة ماركس في عام 1883. نشرت الطبعة الألمانية الأولى من الكتاب لأول مرة في عام 1885؛ ترجمة روسية قامت بها مجموعة تحرير العمل صدر في عام 1886. طبعت الطبعة الفرنسية الثانية المنقحة في عام 1896، التي بادر إليها فريدريك انجلز وأكملتها بعد وفاته ابنة ماركس، لورا لافارج.,متى توفي ماركس؟,في عام 1883
جوفيكا بلاغوفيتش هو لاعب كرة قدم صربي في مركز الوسط، ولد في 27 أغسطس 1998 في كراغوييفاتس في صربيا. شارك مع منتخب صربيا تحت 17 سنة لكرة القدم. أما مع النوادي، فقد لعب مع .,متى ولد جوفيكا بلاغوفيتش؟,27 أغسطس 1998
بدأ أبو المجد حرك مسيرتهُ في مجال التأليف والكتابة عبر كتاب الربا عدو الإسلام والإنسانيّة وهو الكتاب الذي صدر عن دار الصحوة للنشر في عدد صفحاتٍ بلغ 142 صفحة. يتناولُ الكتاب كما هو واضحٌ من عنوانه عن موضوع الربا حيث يُفصّل في النظام الربوي العالمي وكيف استطاع بحسبهِ أن يُحكم السيطرة على اقتصاديات عددٍ من البلدان، كما يُعرّج على منحى انتقال الأموال مؤكّدًا أنها تأخذُ اتجاهُا عكسيًا من الفقراء إلى الأغنياء، ومُرجعًا السبب إلى الأقساط والفوائد المدفوعة التي هي في مجملها أكبر من القروض الجديدة، ويرى حرك أنّ كل هذا يضمنُ تثبيت الدول المَدينَة في مستنقع البؤس، وإمداد الدول الغنية بدماء جديدة تضخُّ في شرايينها لتحقق المزيد من التقدم والنمو.,ما يعتقد حرك بشأن تأثير الربا على الاقتصاد؟,يوفر تثبيت الدول المدينة وتنموية الدول الغنية.
إم إيه-1 (جترال) هي دائرة انتخابية للمجلس الوطني في باكستان. وهي تضم مقاطعة جترال بأكملها. كانت تعرف سابقا باسم إم إيه-32 (المنطقة القبلية الرابعة) من 1977 إلى 2002. وفي عام 2002 تم تغيير اسمها إلى إم إيه-32 (جترال). وبعد ترسيم الحدود في عام 2018 تم تغيير اسم الدائرة الانتخابية إلى إم إيه-1 (جترال).,ما هو الاسم الحالي للدائرة الانتخابية؟,إم إيه-1 (جترال)
إضافة لذلك، فإن مراعي النوبة وأراضيها أكثر خصوبة من أراضي ومراعي شبه الجزيرة العربية، وعلى وجه الخصوص النوبة الجنوبية (علوة)، التي كانت أكثر اتساعًا وأخصب أرضًا وأوفر ثروة من المقرة، إضافة إلى أن مناخ النوبة الشمالية (المقرة) يشابهُ مناخ وبيئة شبه الجزيرة العربية، وهو ما يوائم حياتهم التي جُبِلوا عليها في حب الترحال والتنقل، وقد كان لهذا التشابه في المناخ وطبيعة البلاد والأرض المسطحة، أثرُه في دفع هذه القبائل للتقدم نحو الجنوب، وهي قبائل بدوية رعوية، أو شبه رعوية لا تستطيع التقدم إلا في السهول المكشوفة؛ فكان تدفقهم في كل أرض وصلوها يقف عند اصطدامهم بعقبات طبيعية؛ كالبحار، والجبال، والغابات، وهذا ما حدث بالضبط؛ إذ إن تلك القبائل لم تتوقَّف في زحفها إلا عند المناطق التي تسوء فيها الطرق، وتتفشَّى فيها الأمراض الفتاكة، بَيْدَ أن هذه الجماعات العربية المهاجرة اختلطت بالعناصر النوبية والبجاوية في تلك المناطق، وأدى هذا الاختلاط إلى تأثر هؤلاء بالدماء العربية، التي كانت تتجدد باستمرار مع توالي وصول عناصر عربية جديدة إلى هذه الجهات.,لماذا تقدمت القبائل العربية نحو الجنوب بدلاً من الاتجاهات الأخرى؟,لتشابه المناخ وطبيعة الأرض.
"القنصلية العامة لتونس في مارسيليا هي تمثيلية قنصلية تابعة للجمهورية التونسية في فرنسا. تقع القنصلية في ""شارع أثينا (Boulevard d'Athènes)"" تحديدا في الدائرة الأولى في مارسيليا.",ما هو نوع التمثيلية القنصلية لتونس في مارسيليا؟,تمثيلية قنصلية.
لم يكن للمجموعة إسهامات في الجانب الصحافي كما كان لها في جانبي؛ المقال والرواية. كما أن فشل محاولات المجموعة في إصلاح بلدهم إسبانيا كان سبباً رئيسياً في عدم استكمالهم نشر مقالات أخرى كفريق، مما أدى إلى حل المجموعة ومضى كل منهم في طريقه منفصلاً تماماً عن شريكيه.,لماذا ذهب كل فرد من أفراد المجموعة في طريق منفصل؟,عدم استكمالهم نشر مقالات كفريق.
هي مجموعة حزم برامج( واب WAMP) مفتوحة المصدر لتطوير الويب ويعمل كشبكة محلية . تم إطلاقه سنة 1990 مطور من طرف Laurent ABBAL، Emmanuel FAIVRE، Thierry MURAIL,متى تم إطلاق حزمة WAMP؟,في عام 1990.
مورموني الثقافة هم الأفراد الذين لا يؤمنون في بعض (أو كثير) من عقائد كنيسة يسوع المسيح لقديسي الأيام الأخيرة، ولكن يعرّفون عن أنفسهم مورمون. التأثير الثقافي للمورمون متركز في ولاية يوتا، بالولايات المتحدة، ولذلك بسبب التأثيرات الثقافية أو الدينية أو التعليمية أو بسبب الروابط العائلية، يعرّف العديد من العلمانيين ذوي الخلفية والمورمونية أنفسهم كمورمون.,من هم مورموني الثقافة؟,غير مؤمنين بكنيسة المورمون
في نهاية عام 1991 وبعد الانتهاء من الدور الأول من الانتخابات التشريعية، أعلن سنحضري في نشرة الثامنة عن ميلاد المجلس الوطني لإنقاذ الجزائر والتي تعتبر أول سبب لاندلاع العنف في الجزائر، حيث دعت الجزائريين إلى حماية الجزائر من التيار الإسلامي وإلى إيقاف المسار الانتخابي الذي كان سيؤدي إلى وصول جبهة الإنقاذ الإسلامية إلى سدة البرلمان. و على اثر ميلادالمجلس الوطني لإنقاذ الجزائر شهدت الجزائر عاصفة من الاضطرابات والمظاهرات.نتج منها استقالة الشاذلي بن جديد من رئاسة الجمهورية.ثم استدعي محمد بوضياف من المغرب الأقصى إلى أن يحل مكانه.حينها عين سنحضري عضوا في المجلس الاستشاري ثم عضو في المجلس البرلماني المغاربي الذي من خلاله استطاع ان يمثل الجزائر في كثير من المحافل الدولية.وهذا كله لم يمنعه من المشاركة في تأسيس حزب التجمع من اجل المواطنة الذي باركه الرئيس بوضياف نفسه.,ما هو دور سنحضري بعد مشاركته في المجلس البرلماني المغاربي؟,تمثيل الجزائر في المحافل الدولية
إبسيلون الثور b المعروف حاليا بالتسمية الرسمية أماتيرو هو كوكب مشتري هائل خارج المجموعة الشمسية يقع على مسافة تقدر بنحو 155 سنة ضوئية من الأرض في اتجاه كوكبة الثور في مدار يقع على بعد 1.93 وحدة فلكية تقريباً من نجم العين أحد نجوم عنقود القلائص. يستغرق الكوكب 645 يوماً ليكمل مدارة الدائري تقريباً حول النجم. أكتشف الكوكب من قبل بوني ساتو من مرصد أوكاياما في 7 فبراير 2007.,ما هو اسم التسمية الرسمية لكوكب إبسيلون الثور b؟,أماتيرو
جوني شو هو سياسي أمريكي، ولد في 5 يناير 1942 في الولايات المتحدة. حزبياً، نشط في الحزب الديمقراطي. وقد انتخب عضو مجلس نواب تينيسي.,ما هو انتماء جوني شو الحزبي؟,ديمقراطي
وتوزع التركيب العرقي للمدينة بنسبة 71.55% من البيض و13.50% من الأمريكيين الأفارقة و0.71% من الأمريكيين الأصليين و1.11% من الأمريكيين ذوي الأصول الآسيوية و0.08% من سكان جزر المحيط الهادئ و10.71% من الأعراق الأخرى و2.36% من عرقين مختلطين أو أكثر و19.79% من الهسبانيون أو اللاتينيون من أي عرق.,كم نسبة الأمريكيين الأفارقة في التركيب العرقي للمدينة؟,13.50%
لاحظنا من المثال السابق أن المنفعة الحدية تتزايد في البداية لكن تتناقص مع زيادة عدد الوحدات المستهلكة من السلعة حيث تقوم الوحدات الأولى المستهلكة من السلعة بإعطاء المستهلك درجة أعلى من الإشباع (لأن المستهلك قد يكون متلهفاً على السلعة مثلاً)، أما الوحدات التالية المستهلكة فتعطي المستهلك درجة أقل من الإشباع (إلى أن تصل المنفعة الكلية لأقصى مستوى لها، وتكون المنفعة الحدية مساوية للصفر) ثم تبدأ بالانخفاض بعد ذلك. وعند استهلاك وحدات إضافية أكثر فإن ذلك سيؤدي إلى انخفاض المنفعة الكلية المحققة (و تكون المنفعة الحدية سالبة في هذه المرحلة). إذن فاستهلاك الوحدات الأولى من السلعة يعطي مقدار إشباع أكبر من استهلاك الوحدات الأخيرة من السلعة. وينص قانون تناقص المنفعة الحدية على:,ماذا يعطي استهلاك الوحدات الأولى من السلعة للمستهلك؟,مقدار إشباع أكبر.
حصلت الشركة على شهادة الإيازا للجودة لتصبح بذلك من أكبر مراكز الصيانة بالشرق الأوسط التي تقدم خدمة صيانة الطائرات والوحدات المركبة.,ما يجعل الشركة تعتبر واحدة من أكبر مراكز الصيانة بالشرق الأوسط؟,تقديم خدمة صيانة الطائرات
وُلد جيوفاني سيجانتيني في مقاطعة تيرول في الإمبراطورية النمساوية المجرية، لكن والديه توفيا عندما كان لا يزال صغيراً وذهب للعيش مع أخته غير الشقيقة إيرين في ميلانو. على أمل أن تصبح هي وجيوفاني مواطنين إيطاليين، ألغت إيرين جنسيتهما النمساوية، لكن لسبب ما فشلت في التقدم بطلب للحصول على الجنسية الإيطالية، وبقي الاثنان عديمي الجنسية. سرعان ما هرب جيوفاني، وبعد فترة من العيش في الشوارع جرى إرساله إلى إصلاحية، حيث تم تشجيعه على ممارسة الفن.,ما الذي حدث لجيوفاني بعد هروبه وعيشه في الشوارع؟,تم إرساله إلى إصلاحية وتشجيعه على الفن.
الأغنية المصورة المصورة المرافقة لإصدار أغنية «شخص ما جديد» صدرت للمرة الأولى على اليوتيوب في الثاني من مارس 2015 بمدة إجمالية بلغت أربع دقائق وثلاثة ثوانِ. وشارك في الأغنية المصورة الممثلة ناتالي دورمر.,من قام بالمشاركة في الأغنية المصورة؟,ناتالي دورمر
"نهر ألبرت هو نهر في جنوب شرق ولاية كوينزلاند،أستراليا, تقع مستجمعات المياه داخل منطقة الساحل الذهبي ( Gold Coast) و(shires Beaudesert)وتغطي مساحة من 782 كيلومتر مربع, نهر ألبرت يقدم مياه الشرب لمدينة Beaudesert.هذا النهر له رافدين رئيسيين إثنين.",ما المدينة التي يقدم نهر ألبرت مياه الشرب لها؟,مدينة Beaudesert
بيت علي سعيد هي إحدى قرى عزلة جبل نمر بمديرية بني العوام التابعة لمحافظة حجة، بلغ تعداد سكانها 697 نسمة حسب تعداد اليمن لعام 2004.,في أي محافظة تقع قرية بيت علي سعيد؟,محافظة حجة
ريتشي هانلون هو لاعب كرة قدم ومدرب كرة قدم بريطاني في مركز الوسط، ولد في 26 مايو 1978 في ويمبلي في المملكة المتحدة. لعب مع روشدين ودايموندز وستيفيناغ بوروه وكامبريدج يونايتد ونادي بيتربورو يونايتد ونادي ساوثيند يونايتد ونادي لينكولن سيتي ونادي ويموث.,في أي عام ولد ريتشي هانلون؟,في عام 1978.
التحق إنجلش بكلية هارفارد، حيث بدأ بدراسة القانون قبل أن يتحول إلى دراسة اللاهوت، فدرس التوراة كغيره من طلبة اللاهوت البروتستانت، وزاد على ذلك أن درس القرآن الكريم، ليحصل على درجة الماجستير في علم اللاهوت سنة 1811.,ما نوع دراسة إنجلش الأولى في هارفارد؟,دراسة القانون
زوجة مايكلز السابقة اسمها تيريزا وود ولكن هذا الزواج لم يستمر وانتهى بالطلاق.وثم تزوج مايكلز بشخصية سابقة في WCW من فريق «نايترو قيرلز» Nitro Girls وهي «ريبيكا هكنبوتم» Rebecca Hickenbottom. تزوجا في 31 مارس 1999 في لاس فيغاس وكان حفل زواج صغير. وأول مواليد لهما صبي اسمه «كاميرون كيد دياز»diaz Cameron Kade علي اسم الممثلة المشهورة (كامرون دياز) في 5 يناير 2000، وبنت «شاين ميشيل» Cheyenne Michelle في 19 أغسطس 2004.,من هي زوجة مايكلز الحالية؟,ريبيكا هكنبوتم
خِرْبِة صِيْر قرية فلسطينية تتبع محافظة قلقيلية شمال الضفة الغربية. بلغ عدد سكانها حسب الجهاز المركزي للإحصاء الفلسطيني حوالي 645 نسمة حسب التعداد العام للسكان الذي أجري عام 2017. وهي من القرى المحتلة عام النكسة.,كم يبلغ عدد سكان قرية خِرْبِة صِيْر حسب إحصاء 2017؟,حوالي 645 نسمة
"وود ريدج هي منطقة سكنية تقع بولاية نيوجيرسي في الولايات المتحدة. تبلغ مساحتها 2.89 ، وترتفع عن سطح البحر 50.9016 ، بلغ عدد سكانها 7,626 نسمة في عام 2010 حسب إحصاء مكتب تعداد الولايات المتحدة وتصل الكثافة السكانية فيها .",كم عدد سكان منطقة وود ريدج؟,"7,626 نسمة"
"اكتُشف في 31 مارس 1998 في مرصد ماغدالينا ريدج، الواقع في مقاطعة سوكورو، نيومكسيكو في الولايات المتحدة، بواسطة مشروع بحث لنكولن عن الكويكبات القريبة من الأرض . وقد رصد المشروع 1,401 مشاهدة للكويكب إلى غاية 7 أكتوبر 2021 بتوقيت منطقة المحيط الهادئ، أي في مدة قدرها 9,356 يومًا (25.6 عام). تستغرق الفترة المدارية للكويكب 1,750 يومًا (4.8 عام).",متى تم اكتشاف الكويكب؟,31 مارس 1998
مانويل اربوليدا (2 أغسطس 1979 ببوينافينتورا في كولومبيا - ) هو لاعب كرة قدم كولومبي في مركز قلب الدفاع. لعب مع أتليتيكو هويلا وإنديبنديينتي سانتا في وزاغويمبيه لوبين وسيينسيانو ولخ بوزنان ونادي ميلوناريوس و وديبورتيس توليما.,ما المركز الذي لعب فيه مانويل اربوليدا بكرة القدم؟,قلب الدفاع
في الملصق الإعلامي سابق الذكر، تُصور الولايات المتحدة كآلة حرب متوحشة عديمة الرحمة تسعى للقضاء على الحضارة الأوروبية. أشار الملصق إلى العديد من الجوانب السلبية في التاريخ الأمريكي، من بينها مجموعة كو كلوكس كلان المتطرفة وقمع السكان الأمريكيين الأصليين والإعدامات الجماعية للسود. أدان الملصق الرأسمالية الأمريكية والسيطرة المفترضة لليهودية على الولايات المتحدة، وأظهر القنابل الأمريكية تدمّر قرية أوروبية بريئة.,ماذا يمثل الملصق الإعلامي عن الولايات المتحدة؟,آلة حرب متوحشة تسعى للقضاء على الحضارة الأوروبية.
وسام الإمبراطورية لسانت كاترين أو وسام القديسة كاترين (الروسية:Императорский Орден Святой Екатерины) جائزة الإمبراطورية الروسية. تأسست في 24 نوفمبر 1714 من قبل كاترين الأول من روسيا. كانت جائزة للنساء. كانت رتبة القديس أولغا موجودة لفترة وجيزة من عام 1916 إلى عام 1917 ، ولكنها توقفت مع أسرة رومانوف، تم تأسيسه في عام 1714 من أجل إحياء ذكرى وتصرفات أفعال الإمبراطورة كاترين الأولى ، زوجة بيتر الأكبر، التي دفعت فدية القوزاق الذين تم القبض عليهم من قبل الأتراك في 1711 ، الذي أكسبها بيعها مجوهراتها والممتلكات نكران الذات حقق لها إعجاب المحكمة والبلد.,متى تأسست جائزة وسام القديسة كاترين؟,في 24 نوفمبر 1714
في عام 1754، دخل لونجمان في شراكة مع ابن أخيه –توماس لونجمان، ليصبح اسم الشركة (T. and T. Longman). وفي عام 1755، أصبح توماس لونجمان المالك الوحيد للشركة إثر موت عمه. نجح توماس في بسط هيمنة الشركة بدرجة جد كبيرة في مجال الأعمال التجارية. وفي العام نفسه الذي كان فيه توماس براون (1777-1869) يتدرب في بيت النشر عام 1794، أصبح أوين ريز شريكًا بشركة لونجمان.,من صاحب شركة لونجمان بعد وفاة لونجمان الأول؟,توماس لونجمان
إردال راكيب (13 فبراير 1996 بمالمو في السويد - ) هو لاعب كرة قدم سويدي في مركز الوسط. شارك مع منتخب السويد تحت 17 سنة لكرة القدم ومنتخب السويد تحت 19 سنة لكرة القدم ومنتخب السويد تحت 21 سنة لكرة القدم. أما مع النوادي، فقد لعب مع نادي مالمو.,ما هو نادي كرة القدم الذي لعب معه إردال راكيب؟,نادي مالمو.
الميزة الرئيسية للبحيرة هي البحيرة الطبيعية التي تم تشكيلها في البحيرة.وتوفر البحيرة الصيد ولقد قدم المشرفون على البحيرة مرافق للذهاب للتجديف في مياه البحيرة.وتعتبر بحيرة تشاندوبي وجهة سياحية للسياح والذين يزورون البحيرة خلال مهرجان تشانغدوبي والذي يصادف في الأسبوع الأول من يناير كانون الثاني.في هذا المهرجان، يقوم سكان القرية المحلية بأشكال الرقص التقليدية أو الثقافية، وتوفر الأكشاك الطعام التقليدي المحلي.,متى يقام مهرجان تشانغدوبي؟,في الأسبوع الأول من يناير
اِتِّحاد زِلتِرسِ (بالأَلمانِيَّة: ) هُو اِتِّحاد إِدارِي أَلمانِيَّ في مِنطَقَة ڤِيستر ڤَآلد كرآيس التَّابِعة لِمُحافظة كُوبلنز في وِلاَية رَآينٌ لَاند - بفَآلز في جُمهُوريَّة أَلمَانيَا الاِتّحاديّة. ويضُمُّ اِتِّحاد زِلتِرسِ مدِينة واحِدة، وعِشرُون بَلدة بمِساحة تُقَدَّر بحَوالَي 111 كم².,كم عدد البلدات التي تضمها اتحاد زيلترس؟,عشرون بلدة
روني سورما هو لاعب كرة قدم ألماني في مركز قلب الدفاع، ولد في 17 أبريل 1988 في درسدن في ألمانيا. لعب مع دينامو درسدن ولوكوموتيف لايبزيغ وهانوفر 96.,ما هو مركز لعب روني سورما في كرة القدم؟,قلب الدفاع
وقال مساعد الأمين العام للأمم المتحدة للشؤون الإنسانية ستيفن أوبراين، انه يشعر بالرعب من الهجمات على المدنيين في سوريا واكد ان«الهجمات على المدنيين أمر غير قانوني، وغير مقبول، ويجب أن يتوقف». وفي السياق نفسه نددت الولايات المتحدة بما أسمته «استخفاف النظام السوري بحياة البشر» ودانت بشدة الغارات الجوية التي شنها النظام السوري على مدينة دوما في ريف دمشق التي خلفت نحو مائة قتيل ووصفتها ب «الوحشية».,من وصف الهجمات على المدنيين في سوريا بأنها غير قانونية وغير مقبولة؟,ستيفن أوبراين.
تأثر المزارعون في ميانمار بانتشار انفلونز الطيور إتش 5 إن 1 في آسيا. تأثرت مناطق ساجينغ وماندالاي أولا، وأدى ذلك إلى إبادة عدة آلاف من الدجاج والسمان مع بيضهم. في عام 2006، صرح مسوؤل بالبلاد عن خطة تمويلية لاستعادة الطيور وتعويض مزارع الدواجن المتضررة.,ماذا قام مسوؤل بالبلاد بالإعلان عن في عام 2006؟,خطة تمويلية لاستعادة الطيور وتعويض المزارعين.
بإستثناء البابا مارتن الأول، لم يقم أي بابا خلال هذه الفترة بالتشكيك في سلطة الإمبراطور البيزنطي لتأكيد انتخاب أسقف روما. ومع ذلك، كانت هناك بعض من النزاعات اللاهوتية بين البابا والإمبراطور في العديد من المجالات مثل المونوثيليتية وتحطيم الأيقونات.,ما هو النزاع بين البابا والإمبراطور في المجال الديني؟,نزاعات لاهوتية مثل المونوثيليتية وتحطيم الأيقونات
وتوزع التركيب العرقي للمدينة بنسبة 91.51% من البيض و 1.42% من الأمريكيين الأصليين و 0.47% من الأمريكيين الأفارقة و 6.13% من عرقين مختلطين أو أكثر.,ما هي النسبة المئوية للأمريكيين الأفارقة في التركيب العرقي؟,0.47%
